year,statefips,countyfips,DS_PM_pred
2017,9,11,5.547115953635406
2017,1,111,9.22806894977169
2017,12,111,7.50482104607721
2017,13,111,7.841881643835616
2017,17,111,8.508981875658588
2017,18,111,8.302415753424658
2017,19,111,8.426875716064757
2017,20,111,8.209261643835616
2017,21,111,9.321758029118554
2017,22,111,9.104966666666667
2017,26,111,7.063580245133381
2017,27,111,6.063589202256245
2017,28,111,8.628974429223744
2017,29,111,8.373760273972603
2017,30,111,7.192769092465753
2017,31,111,5.87618595890411
2017,36,111,6.454264062955407
2017,37,111,7.531773150684932
2017,39,111,8.310510273972603
2017,40,111,9.145648767123288
2017,42,111,8.430516373124592
2017,46,111,5.672728767123288
2017,47,111,8.047394520547945
2017,48,111,5.80452602739726
2017,5,111,8.767115459882583
2017,51,111,7.762193607305936
2017,55,111,6.70740210748156
2017,6,111,9.533311362736559
2017,8,111,4.520539726027397
2017,1,113,10.356432033719705
2017,12,113,8.372924383561644
2017,13,113,9.529356712328767
2017,17,113,8.963598529903107
2017,18,113,8.317397534246575
2017,19,113,8.016205296803653
2017,20,113,7.425591780821918
2017,21,113,8.68526697108067
2017,22,113,8.504144748858448
2017,26,113,6.065379452054794
2017,27,113,6.444460273972603
2017,28,113,8.517282876712329
2017,29,113,8.80012915851272
2017,31,113,5.627717808219178
2017,36,113,6.16543590483057
2017,37,113,7.108538812785388
2017,39,113,9.292549950756558
2017,40,113,8.757180572851806
2017,42,113,7.763649315068493
2017,46,113,5.030824657534247
2017,47,113,7.875817554540842
2017,48,113,9.483656674521584
2017,5,113,8.640071232876712
2017,51,113,7.223565753424658
2017,55,113,5.283299086757991
2017,6,113,9.336942332108253
2017,8,113,4.608016438356164
2017,1,115,9.697518018967334
2017,12,115,7.850802215097639
2017,13,115,9.447233698630137
2017,17,115,9.286279532634972
2017,18,115,8.68497397260274
2017,19,115,8.22362100456621
2017,20,115,7.707456164383562
2017,21,115,8.010289497716895
2017,22,115,8.812138584474886
2017,26,115,8.464767334035827
2017,27,115,5.669502397260274
2017,28,115,9.11731598173516
2017,29,115,7.75078904109589
2017,31,115,5.746983561643836
2017,36,115,6.274979049153908
2017,37,115,7.180447488584475
2017,39,115,8.297786301369863
2017,40,115,8.564408828006088
2017,42,115,7.270261519302615
2017,46,115,5.861388127853881
2017,47,115,8.418951141552511
2017,48,115,7.439493150684932
2017,5,115,9.104171108343711
2017,51,115,7.176539726027397
2017,55,115,5.83112303860523
2017,6,115,8.532110371819961
2017,8,115,5.607882191780822
2017,1,117,10.073669063926941
2017,12,117,8.212015514495062
2017,13,117,9.192322922374429
2017,17,117,8.905969230769231
2017,18,117,8.314102283105023
2017,19,117,7.632878082191781
2017,20,117,8.01373698630137
2017,21,117,9.391379418643502
2017,22,117,8.439243337484433
2017,26,117,7.094937618545838
2017,27,117,5.856661369863014
2017,28,117,8.610228493150685
2017,29,117,7.753632876712329
2017,31,117,5.572249315068493
2017,36,117,6.443165255292653
2017,37,117,7.37506894977169
2017,39,117,8.533051598173516
2017,40,117,8.47704
2017,42,117,6.822666575342466
2017,46,117,4.543887671232877
2017,47,117,8.102182648401826
2017,48,117,6.598146575342466
2017,5,117,8.663939726027397
2017,51,117,7.940702891933029
2017,55,117,6.222923182297155
2017,8,117,4.312246575342466
2017,1,119,9.0059
2017,12,119,8.276377217015141
2017,13,119,8.617049863013699
2017,17,119,9.216637592634179
2017,18,119,8.184589589041096
2017,19,119,6.598653881278539
2017,20,119,6.404675342465753
2017,21,119,7.880309589041096
2017,22,119,9.352291158156912
2017,26,119,6.054587397260274
2017,27,119,6.74836602739726
2017,28,119,8.33472602739726
2017,29,119,8.539709589041096
